 11 7183.016052 3.873E-30 6.638E-04.05010.315 2690.59360.44-.005170          0 6 0          0 1 0  9  1  9        9  2  8      2322338072947131 9    19.0   19.0
 11 7183.073689 2.045E-28 1.692E-02.05510.265 2613.10450.57-.026300          0 0 2          0 0 0 13  4 10       12  7  5      334233807260713049    27.0   25.0
 11 7183.206590 2.212E-29 1.204E+00.08020.250 4174.03860.70-.002370          2 1 0          0 1 0 13  5  8       13  4  9      232230807294713152    81.0   81.0
 11 7183.218640 8.530E-25 1.261E-01.07990.315 1216.23130.69-.017410          0 0 2          0 0 0  8  2  6        9  3  7      454223796760713049    17.0   19.0
 12 7183.221296 9.917E-27 1.060E+01.10600.480 1633.63470.76-.009440          1 1 1          0 1 0  1  1  1        1  1  0      544243807294713152     9.0    9.0
 13 7183.252400 1.480E-29 6.028E-02.10050.456 1738.02760.75-.008420          2 1 0          0 1 0  3  1  2        2  2  1      435253607094713152   126.0   90.0
 11 7183.272532 6.860E-24 3.149E+00.07600.298 1718.71880.81-.000180          1 0 1          0 0 0 10  5  5       10  5  6      454523306779711552    63.0   63.0
 13 7183.325300 4.560E-28 2.484E-01.03760.281 1324.12870.31-.025220          0 0 2          0 0 0 10  0 10       11  1 11      436253607060713049   126.0  138.0
 11 7183.330353 7.814E-30 1.169E-03.03150.298 2701.88850.530.003920          0 4 0          0 0 0 11  9  3       10 10  0      332230807260713049    23.0   21.0
 11 7183.330406 2.344E-29 1.169E-03.03150.298 2701.88850.530.003930          0 4 0          0 0 0 11  9  2       10 10  1      332230807260713049    69.0   63.0
 13 7183.339900 1.370E-27 2.487E-01.03740.281 1324.12160.30-.024830          0 0 2          0 0 0 10  1 10       11  0 11      436253607060713049   378.0  414.0
 13 7183.352176 9.430E-29 1.112E+00.09410.456 1661.46480.720.000000         -2-2-2          0 1 0  2 -1 -1        2  0  2      1622304636917122 0    30.0   30.0
 11 7183.355180 3.640E-29 1.192E+00.07780.265 3843.41040.68-.013000          0 3 1          0 1 0 13  4  9       12  4  8      334233807294713152    27.0   25.0
 12 7183.363928 6.816E-25 4.665E+00.08700.352  925.69970.94-.019420          1 0 1          0 0 0  7  4  4        7  4  3      565640807267712452    45.0   45.0
 11 7183.392955 2.134E-30 2.876E+00.07690.352 4457.81860.64-.019370          0 0 3          1 0 0  6  3  4        7  3  5      332230807294713152    13.0   15.0
 11 7183.436800 4.217E-29 5.618E-03.03980.235 2739.42860.36-.009018         -2-2-2          0 0 0 15 -1 -1       14  3 11      132232477291712250    31.0   29.0
