 23 3589.329633 1.141E-28 9.903E+00.06700.079 3165.74370.75-.004728       3 0 0 13       2 0 0 03                    P 42e     3665632432 9 9 711    83.0   85.0
 24 3589.335530 4.028E-26 6.146E+00.06570.074 1556.87280.74-.005175       1 1 1 12       0 1 1 01                    R 48f     4765632432 9 9 711   594.0  582.0
 22 3589.335850 1.890E-26 9.545E+00.06780.083 2445.93700.74-.004603       2 1 1 12       1 1 1 02                    P 37e     3666632431 9 9 711   146.0  150.0
 22 3589.342051 1.120E-26 1.614E+01.06730.080 2677.86680.75-.004678       2 1 1 11       1 1 1 01                    P 40f     3666632431 9 9 711   158.0  162.0
 21 3589.342952 4.488E-29 2.898E-01.05540.064 4065.52230.64-.004394       3 1 1 01       1 0 0 02                    P 84e     3655532429 9 9 711   167.0  169.0
 22 3589.351874 1.530E-28 9.828E+00.07120.095 3343.30600.72-.004271       3 1 1 13       2 1 1 03                    P 23e     3666632431 9 9 711    90.0   94.0
 21 3589.364529 5.104E-25 5.336E+00.06350.069 2673.79120.72-.005569       1 2 2 12       0 2 2 01                    R 58e     4755532429 9 9 711   119.0  117.0
 22 3589.372050 6.900E-30 1.791E+01.08010.109 3926.87980.68-.002543       4 0 0 13       3 0 0 03                    R  8e     3666632431 9 9 711    38.0   34.0
 23 3589.400023 7.013E-23 7.113E+00.06970.090  278.27970.73-.004102       1 0 0 12       0 0 0 01                    R 27e     3766632432 9 9 711    57.0   55.0
 21 3589.401651 2.113E-26 6.504E+00.06370.070 3366.17790.72-.005532       2 1 1 12       1 1 1 01                    R 57e     4655532429 9 9 711   117.0  115.0
 21 3589.409520 6.725E-27 3.176E-02.06990.091 2351.51260.73-.003105       3 2 2 01       1 1 1 01                    R 26f     3666632429 9 9 711    55.0   53.0
 24 3589.418751 2.015E-30 3.582E-02.06370.070 2566.48960.72-.003944       3 1 1 01       1 0 0 02                    P 58e     3655532432 9 9 711   690.0  702.0
 21 3589.420221 9.427E-29 1.482E-03.06710.080 2678.50570.75-.004750       0 5 5 11       0 3 3 01                    P 41e     3665632429 9 9 711    81.0   83.0
 23 3589.432584 7.869E-29 7.397E-03.06810.084 1723.04160.74-.003545       3 1 1 01       1 0 0 02                    P 35e     3666632432 9 9 711    69.0   71.0
 23 3589.451098 5.117E-27 1.216E-02.06490.072 1052.77180.73-.005056       0 2 2 11       0 0 0 01                    P 53e     4655532432 9 9 711   105.0  107.0
 21 3589.453478 4.221E-30 1.607E-02.06870.087 3756.19530.74-.003499       2 6 6 01       0 5 5 01                    P 32f     3666632429 9 9 711    63.0   65.0
 23 3589.457699 2.663E-28 4.966E+00.05330.063 3007.47200.62-.005865       1 0 0 11       0 0 0 01                    P 90e     3745432432 9 9 711   179.0  181.0
 24 3589.459985 1.866E-28 2.998E-02.06170.067 1621.94250.70-.005357       0 2 2 11       0 0 0 01                    P 65e     4655532432 9 9 711   774.0  786.0
 23 3589.467877 1.108E-30 1.007E+01.06940.089 4045.35550.73-.004409       4 0 0 14       3 0 0 04                    P 29e     3666632432 9 9 711    57.0   59.0
 23 3589.483594 2.016E-30 6.004E-02.06110.067 3042.67410.70-.005406       1 2 2 11       1 0 0 01                    P 67e     3655532432 9 9 711   133.0  135.0
 21 3589.497481 8.014E-30 5.615E+00.04550.060 5092.87690.54-.006316       1 0 0 11       0 0 0 01                    P114e     3744432429 9 9 711   227.0  229.0
 24 3589.502152 5.858E-30 1.483E-03.07200.096 1489.43020.71-.002721       3 1 1 01       0 2 2 01                    R 20e     3666632432 9 9 711   258.0  246.0
 22 3589.503119 4.570E-25 1.583E+01.06800.084 1888.95320.74-.004578       2 0 0 11       1 0 0 01                    P 36e     3766632431 9 9 711   142.0  146.0
 22 3589.511710 6.250E-30 2.412E+01.07660.104 4080.83640.68-.002971       4 0 0 12       3 0 0 02                    R 12e     3666632431 9 9 711    54.0   50.0
 21 3589.518505 4.073E-30 3.505E-04.08010.109 2707.09040.68-.003176       2 5 5 01       0 4 4 01                    P  9f     3666632429 9 9 711    17.0   19.0
 24 3589.524149 5.451E-30 1.344E-03.07250.097 1474.23360.71-.002658       3 1 1 01       0 2 2 01                    R 19f     3666632432 9 9 711   246.0  234.0
 22 3589.530145 7.290E-30 1.219E-03.07740.105 1998.13060.68-.002074       3 2 2 01       0 3 3 01                    R 11e     3666632431 9 9 711    50.0   46.0
 21 3589.540214 6.409E-27 1.352E+01.06490.072 3743.76210.73-.005340       3 0 0 13       2 0 0 02                    R 52e     3655532429 9 9 711   107.0  105.0
 21 3589.549584 1.272E-27 2.912E-03.07460.101 2097.40870.69-.002424       2 4 4 01       0 3 3 01                    R 15e     3666632429 9 9 711    33.0   31.0
 21 3589.571367 9.126E-26 6.054E-02.06680.078 2042.03130.75-.003832       2 3 3 01       0 2 2 01                    R 42e     3665632429 9 9 711    87.0   85.0
 24 3589.582438 2.918E-26 6.120E+00.06530.073 1630.43300.74-.005259       1 1 1 12       0 1 1 01                    R 50e     3755532432 9 9 711   618.0  606.0
 22 3589.585368 3.150E-30 7.480E+00.06550.074 4248.17020.74-.004930       1 5 5 11       0 5 5 01                    P 50f     3655532431 9 9 711   198.0  202.0
 22 3589.606597 1.340E-30 1.694E+01.08010.109 4229.75250.68-.003893       1 3 3 21       0 3 3 11                    P  9f     3666632431 9 9 711    34.0   38.0
 24 3589.620097 7.538E-29 1.140E+01.06050.066 3045.94270.69-.005910       2 0 0 13       1 0 0 02                    R 68e     4755532432 9 9 711   834.0  822.0
 23 3589.621121 1.693E-28 1.350E-03.06750.081 1237.95880.75-.004699       0 3 3 11       0 1 1 01                    P 39f     3666632432 9 9 711    77.0   79.0
 23 3589.621374 2.497E-30 5.879E+00.05150.063 4014.01040.60-.005967       1 1 1 11       0 1 1 01                    P 95e     0744432432 9 9 711   189.0  191.0
 22 3589.622609 2.250E-30 3.184E+01.07660.104 4348.08810.68-.002971       2 1 1 21       1 1 1 11                    R 12e     3666632431 9 9 711    54.0   50.0
 21 3589.645033 2.578E-26 6.602E+00.06400.070 3324.76130.72-.005495       2 1 1 12       1 1 1 01                    R 56f     4655532429 9 9 711   115.0  113.0
 21 3589.647576 3.151E-29 5.494E-03.06830.085 3134.53160.74-.004574       2 2 2 12       2 0 0 02                    P 34e     3666632429 9 9 711    67.0   69.0
